url,content,token_count,char_count,techStackName
https://kestra.io/docs/getting-started,"""""""DocsGetting Started
Getting Started
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Follow the Quickstart Guide to install Kestra and start building your first workflows.
Quickstart
Start Kestra in a Docker container and create your first flow.
Installation Guide
Install Kestra in your preferred environment.
Tutorial
Follow the tutorial to schedule and orchestrate your first workflows.
Workflow Components
Get to know the main orchestration components of a Kestra workflow.
Concepts
Learn the concepts and best practices to get the most out of Kestra.
Enterprise Edition
Explore unique features of the Enterprise Edition and Kestra Cloud.
Architecture
Dive into Kestra's architecture and learn how it differs between various editions.
Version Control & CI/CD
Develop Workflows and integrate them with Git and CI/CD.
Plugins
Browse Kestra's integrations and learn how to create your own plugins.
Administrator Guide
Deploy, configure, secure, and manage Kestra in production.
Configuration
Almost everything is configurable in Kestra. Here you'll find the different configuration options available to Administrators.
API Reference
Check the API reference for the Open-Source and Cloud & Enterprise Edition.
Migration Guide
Migrate to the latest version of Kestra.
Terraform Provider
Manage resources and their underlying infrastructure with our official Terraform provider.
User Interface
Navigate Kestra's UI.
Contributing
Contribute to our open-source community.
How-to Guides
Tutorials covering various use cases step by step.
Community Guidelines
The Kestra community is a friendly and welcoming place for everyone.
Was this page helpful?
Yes
No
Docs
Docs
Getting Started
Quickstart""""""",358,1715,kestra
https://kestra.io/docs/getting-started/quickstart,"""""""DocsGetting StartedQuickstart
Quickstart
Table of Contents
Start Kestra
Create Your First Flow
Next Steps
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Start Kestra in a Docker container and create your first flow.
Start Kestra
Prerequisites: Make sure that Docker is installed in your environment. We recommend Docker Desktop.
Make sure that Docker is running. Then, you can start Kestra in a single command using Docker (if you run it on Windows, make sure to use WSL):
bash
docker run --pull=always --rm -it -p 8080:8080 --user=root -v /var/run/docker.sock:/var/run/docker.sock -v /tmp:/tmp kestra/kestra:latest server local
Open http://localhost:8080 in your browser to launch the UI and start building your first flows.
The above command starts Kestra with an embedded H2 database that will not persist data. If you want to use a persistent database backend with Postgres and more configurability, follow the Docker Compose installation.
Create Your First Flow
Navigate to Flows in the left menu, then click the ""Create"" button and paste the following configuration to create your first flow:
yaml
id: getting_started
namespace: company.team
tasks:
  - id: hello_world
    type: io.kestra.plugin.core.log.Log
    message: Hello World!
Click on Save and then on the Execute button to start your first execution.
For a more detailed introduction to Kestra, check our Tutorial
Next Steps
Congrats! You've just installed Kestra and executed your first flow! 👏
Next, you can follow the documentation in this order:
Check out the tutorial
Get to know the building blocks of a flow
Learn the core concepts
Check out the available Plugins to integrate with external systems and start orchestrating your applications, microservices and processes
Deploy Kestra to remote development and production environments
Almost everything is configurable in Kestra. You can find the different configuration options available to Administrators in the Configuration Guide
Was this page helpful?
Yes
No
Docs
Getting Started
Getting Started
Installation Guide""""""",463,2069,kestra
https://kestra.io/docs/getting-started/installation,"""""""DocsGetting StartedInstallation Guide
Installation Guide
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Install Kestra in your preferred environment.
Docker
Start Kestra in a single Docker container.
Docker Compose
Start Kestra with a PostgreSQL database backend using a Docker Compose file.
Kubernetes
Install Kestra in a Kubernetes cluster using a Helm chart.
Kubernetes on AWS EKS with Amazon RDS and S3
Deploy Kestra to AWS EKS with PostgreSQL RDS database and S3 internal storage backend.
Kubernetes on GCP GKE with CloudSQL and Cloud Storage
Deploy Kestra to GCP GKE with CloudSQL as a database backend and Google Cloud Storage as internal storage backend.
Kubernetes on Azure AKS with Azure Database and Blob Storage
Deploy Kestra to Azure AKS with Azure Database for PostgreSQL servers as a database backend and Blob Storage as internal storage backend.
AWS EC2 with Amazon RDS and S3
Install Kestra on AWS EC2 with PostgreSQL RDS database and S3 internal storage backend.
GCP VM with Cloud SQL and GCS
Install Kestra on a GCP VM with Cloud SQL PostgreSQL database backend and Cloud Storage as internal storage backend.
Azure VM with Azure Database
Install Kestra on Azure VM with Azure Database as a database backend and Blob Storage as internal storage backend.
DigitalOcean Droplet with Managed Database
Install Kestra on DigitalOcean Droplet with DigitalOcean Database as a database backend.
Standalone Server
Install Kestra on a standalone server with a simple executable file.
Podman Compose
Start Kestra with a PostgreSQL database backend using Podman Compose.
Kestra Cloud (Alpha)
Sign up for a free Kestra Cloud account to get started.
Was this page helpful?
Yes
No
Getting Started
Quickstart
Getting Started
Tutorial""""""",396,1762,kestra
https://kestra.io/docs/getting-started/tutorial,"""""""DocsGetting StartedTutorial
Tutorial
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Follow the tutorial to schedule and orchestrate your first workflows.
Kestra is an open-source orchestrator designed to bring Infrastructure as Code (IaC) best practices to all workflows — from those orchestrating mission-critical applications, IT operations, business processes, and data pipelines, to simple Zapier-style automations.
You can use Kestra to:
run workflows on-demand, event-driven or based on a regular schedule
programmatically interact with any system or programming language
orchestrate microservices, batch jobs, ad-hoc scripts (written in Python, R, Julia, Node.js, and more), SQL queries, data ingestion syncs, dbt or Spark jobs, or any other applications or processes
This tutorial will guide you through key concepts in Kestra. We'll build upon the ""Hello world"" flow from the Quickstart, and we'll gradually introduce new concepts including namespaces, tasks, parametrization with inputs and scheduling using triggers.
We'll then dive into parallel task execution, error handling, as well as custom scripts and microservices running in isolated containers. Let's get started!
Fundamentals
Start by building a ""Hello world"" example.
Inputs
Inputs allow you to make your flows more dynamic and reusable.
Outputs
Outputs allow you to pass data between tasks and flows.
Triggers
Triggers automatically start your flow based on events.
Flowable Tasks
Run tasks or subflows in parallel, create loops and conditional branching.
Errors and Retries
Handle errors with automatic retries and notifications.
Docker
Run custom Python, R, Julia, Node.js and Shell scripts in isolated containers.
Was this page helpful?
Yes
No
Getting Started
Installation Guide
Getting Started
Workflow Components""""""",378,1819,kestra
https://kestra.io/docs/getting-started/workflow-components,"""""""DocsGetting StartedWorkflow Components
Workflow Components
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Get to know the main orchestration components of a Kestra workflow.
Flow
Flow is a container for tasks and their orchestration logic.
Tasks
Tasks are the steps within a flow.
Namespace
Namespace is a logical grouping of flows.
Execution
Execute your flows and view the outcome.
Variables
Variables are key-value pairs that help reuse some values across tasks.
Inputs
Inputs is a list of dynamic values passed to the flow at runtime.
Outputs
Outputs allow you to pass data between tasks and flows.
Triggers
Trigger is a mechanism that automates the execution of a flow.
Labels
Labels are key-value pairs used to organize flows and executions.
Plugin Defaults
Plugin defaults are a list of default values applied to each task of a certain type within your flow(s).
Subflows
Subflows allow you to build modular and reusable workflow components.
Errors
Allow your flow to continue to operate despite errors.
Retries
Retries handle transient failures in your workflows.
Timeout
Timeout allows you to set a maximum duration for a task run.
Concurrency limits
Control concurrent executions of a given flow.
Descriptions
You can document your flows, inputs, outputs, tasks and triggers by adding a description property.
Disabled flag
The disabled flag is a boolean property that allows you to skip a flow, task or trigger.
States
States control the status of your workflow execution.
Was this page helpful?
Yes
No
Getting Started
Tutorial
Getting Started
Concepts""""""",324,1589,kestra
https://kestra.io/docs/getting-started/concepts,"""""""DocsGetting StartedConcepts
Concepts
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Learn the concepts and best practices to get the most out of Kestra.
Namespace Files
Manage Namespace Files and how to use them in your flows.
Revision
Manage versions of flows.
Secret
Store sensitive information securely.
Key Value (KV) Store
Build stateful workflows with the KV Store.
Pebble Templating Engine
Dynamically render variables, inputs and outputs.
Blueprints
Ready-to-use examples designed to kickstart your workflow.
Backfill
Backfills are replays of missed schedule intervals between a defined start and end date.
Replay
Replay allows you to re-run a workflow execution from any chosen task run.
Data storage and processing
Manage data processed by tasks.
Caching
Manage file caching inside of Kestra.
System Flows
Automate maintenance workflows with System Flows.
Was this page helpful?
Yes
No
Getting Started
Workflow Components
Getting Started
Enterprise Edition""""""",216,994,kestra
https://kestra.io/docs/getting-started/enterprise,"""""""DocsGetting StartedEnterprise Edition
Enterprise Edition
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Explore unique features of the Enterprise Edition and Kestra Cloud.
Enterprise Edition (EE)
Learn about the Enterprise Edition and how it can help you run Kestra securely and reliably at scale.
Setup
How to setup Kestra Enterprise Edition.
Tenants
How to enable multi-tenancy in your Kestra instance.
Authentication
How to configure the authentication for your Kestra instance.
Single Sign-On (SSO)
How to enable and setup SSO in your Kestra Enterprise instance.
Audit Logs
How to use Audit Logs to govern activities in your Kestra instance.
Namespace Management
How to govern secrets, variables and plugin defaults on a namespace level.
Centralized Task Configuration
How to centrally govern your task configuration in a modular way.
Allowed namespaces
How to manage cross-namespace permissions in the Enterprise Edition.
Kestra EE API
How to interact with Kestra Enterprise Edition using the API.
API Tokens
How to manage API tokens in Kestra.
Kestra EE CLI
How to interact with Kestra Enterprise Edition using the CLI.
Custom Blueprints
How to create and manage Custom Blueprints.
Enterprise Edition FAQ
Frequently asked questions about the Enterprise Edition of Kestra.
Kestra Identity
Common questions about the identity.
Role-Based Access Control (RBAC)
How to manage access and permissions to your instance.
Releases
Release cadence and support policy for Kestra Enterprise Edition (EE).
SCIM Directory Sync
Sync users and groups from your Identity Provider to Kestra using SCIM.
Secrets
How to create and manage Secrets in the Enterprise Edition.
Secrets Manager
How to configure the secrets manager.
Service Accounts
How to create and manage Service Accounts.
Task Runners
Task Runner capabilities and supported plugins.
Worker Group
How to configure Worker Groups in Kestra Enterprise Edition.
Worker Isolation
How to configure worker isolation in Kestra.
Was this page helpful?
Yes
No
Getting Started
Concepts
Getting Started
Architecture""""""",443,2081,kestra
https://kestra.io/docs/getting-started/architecture,"""""""DocsGetting StartedArchitecture
Architecture
Table of Contents
Choosing the right architecture for your needs
Architecture with JDBC backend
Scalability with JDBC
Architecture with Kafka and Elasticsearch backend
Scalability with Kafka and Elasticsearch
Comparison between JDBC and Kafka architectures
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Dive into Kestra's architecture and learn how it differs between various editions.
Choosing the right architecture for your needs
Kestra's architecture is designed to be scalable, flexible and fault-tolerant. Depending on your needs, you can choose between two different architectures: JDBC and Kafka.
Architecture with JDBC backend
The following diagram shows the main components of Kestra using the JDBC backend.
Here are the components and their interactions:
JDBC Backend: this is the data storage layer used for orchestration metadata.
Server: this is the central part of the system, composed of:
Webserver: this components is serving both an API and a User Interface.
Scheduler: an essential part of the system that schedules workflows and handles all triggers except for the flow triggers (see below).
Executor: another critical component responsible for the orchestration logic including flow triggers.
Worker: this might be one or multiple processes that carry out the heavy computation of runnable tasks and polling triggers. For privacy reasons, workers are the only components that interact with the user's infrastructure, including the internal storage and external services.
User: interacts with the system via UI and API.
User’s Infrastructure: private infrastructure components that are part of the user’s environment, which Kestra interacts with:
Internal Storage: can be any cloud storage system within the user's infrastructure (e.g. AWS S3, Google Cloud Storage, or Azure Blob Storage).
External Services: third-party APIs or services outside of Kestra which Workers might interact with to process data within a given task.
The arrows indicate the direction of communication. The JDBC Backend connects to the Server, which in turn interacts with the User's Infrastructure. The User interacts with the system through the API and UI.
Scalability with JDBC
The scalable design of the architecture allows you to run multiple instances of the Webserver, Executor, Worker and Scheduler to handle increased load. As your workload increases, more instances of the required components can be added to the system to distribute the load and maintain performance.
The JDBC Backend can be scaled too, either through clustering or sharding, to handle larger volumes of data and a higher number of requests from the Server components. Most cloud providers offer managed database services that can be scaled up and down as needed.
Architecture with Kafka and Elasticsearch backend
The following diagram shows the main components of Kestra using the Kafka and Elasticsearch backend.
Note that this architecture is only available in the Enterprise Edition of Kestra.
This architecture is designed to provide enhanced scalability, high availability, and fault tolerance, required to meet the needs of large-scale enterprise deployments.
Kafka: this component serves as the messaging backend, which communicates between different components of the system and allows for robust scalability and fault tolerance.
Microservices: This layer includes several services:
Webserver: serves the API and User Interface for interaction with the system.
Scheduler: schedules workflows and processes all triggers except for the flow triggers.
Executor: handles the orchestration logic, including flow triggers.
Indexer: indexes data from Kafka to Elasticsearch for quick retrieval and search.
Worker: runs tasks and interacts with the user's infrastructure.
User: engages with the system through the Webserver's API and UI.
Elasticsearch: acts as a search and UI backend, storing logs, execution history, and enabling fast data retrieval.
User’s Infrastructure: private infrastructure components that are part of the user’s environment, which Kestra interacts with:
Internal Storage: Cloud storage services where user's data is stored (e.g. AWS S3, Google Cloud Storage, or Azure Blob Storage).
External Services: APIs or services that Workers might interact with during task processing.
Scalability with Kafka and Elasticsearch
Kafka's messaging backend allows handling large volumes of data with the ability to scale out as needed. You can run multiple (horizontally scaled) instances of services such as Workers, Schedulers, Webservers and Executors to distribute load and maintain system performance as demand increases. Elasticsearch contributes to scalability by providing a robust, horizontally scalable UI backend that can efficiently search across large amounts of data.
Comparison between JDBC and Kafka architectures
When comparing both diagrams, the main difference between the architecture of the JDBC and an Kafka architectures is the data layer (JDBC Database vs. Kafka and Elasticsearch).
Note that it's possible to use the Enterprise Edition with a JDBC database backend for smaller deployments. In fact, it's often easier to start with a JDBC backend and migrate to Kafka and Elasticsearch when your deployment grows.
The Worker is the only component communicating with your private data sources to extract and transform data. The Worker also interacts with Internal Storage to persist intermediary results and store the final task run outputs.
All components of the application layer (including the Worker, Executor, and Scheduler) are decoupled and stateless, communicating with each other through the Queue (Kafka/JDBC). You can deploy and scale them independently. When using Kafka and Elasticsearch, you can scale the replica count for the Scheduler as well, making the component highly available.
The Webserver communicates with the (Elasticsearch/JDBC) Repository to serve data for Kestra UI and API.
The data layer is decoupled from the application layer and provides a separation between:
storing your private data processing artifacts — Internal Storage is used to store outputs of your executions; you can think of Internal Storage as your own private S3 bucket
storing execution metadata — (Kafka/JDBC) Queue is used as the orchestration backend
storing logs and user-facing data — the (Elasticsearch/JDBC) Repository is used to store data needed to serve Kestra UI and API.
The Indexer, available only in the Enterprise Edition, indexes content from Kafka topics (such as the flows and executions topics) to the Elasticsearch repositories. Thanks to the separation between Queue and Repository in the Kafka Architecture, even if your Elasticsearch instance experiences downtime, your executions will continue to work by relying on the Kafka backend.
Main components
Technical description of Kestra's main components, including the internal storage, queue, repository, and plugins.
Server components
Detailed breakdown of the server components behind Kestra.
Deployment Architecture
Examples of deployment architectures, depending on your needs.
Executor
The Executor processes all executions and Flowable tasks.
Worker
The Worker is a server component that processes all runnable tasks and polling triggers.
Scheduler
The Scheduler is a server component responsible for processing all triggers except for the Flow Triggers (managed by the executor).
Indexer
Indexer is an optional component only needed when using Kafka and Elasticsearch.
Webserver
The Webserver serves the APIs and the User Interface (UI).
Internal Storage
Internal Storage is a dedicated storage area to store arbitrary-sized files used during executions.
Multi-tenancy
Multi-tenancy allows you to manage multiple environments (e.g., dev, staging, prod) in a single Kestra instance.
Was this page helpful?
Yes
No
Getting Started
Enterprise Edition
Getting Started
Version Control & CI/CD""""""",1487,7950,kestra
https://kestra.io/docs/getting-started/version-control-cicd,"""""""DocsGetting StartedVersion Control & CI/CD
Version Control & CI/CD
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Develop Workflows and integrate them with Git and CI/CD.
Version Control with Git
Setup Version Control with Git to store your flows and namespace files.
CI/CD Pipeline
Kestra provides several ways to create a CI/CD pipeline for your flows.
Was this page helpful?
Yes
No
Getting Started
Architecture
Getting Started
Plugins""""""",108,465,kestra
https://kestra.io/docs/getting-started/plugins,"""""""DocsGetting StartedPlugins
Plugins
Table of Contents
The purpose of plugins
Custom Plugins
Contribute
Edit this page
Join us on Slack
YouTube
GitHub
Twitter
LinkedIn
Browse Kestra's integrations and learn how to create your own plugins.
The purpose of plugins
Plugins are the building blocks of Kestra's tasks and triggers. They encompass components interacting with external systems and performing the actual work in your flows.
Kestra comes prepackaged with hundreds of plugins, and you can also develop your own custom plugins.
Custom Plugins
To integrate with your internal systems and processes, you can build custom plugins. If you think it could be useful to others, consider contributing your plugin to our open-source community. Check out more on in Plugins Developer Guide.
Was this page helpful?
Yes
No
Getting Started
Version Control & CI/CD
Getting Started
Administrator Guide""""""",183,889,kestra
